Timestamp, LeftSensor (cm), RightSensor (cm)
6/9/2018 17:09:06,99,97
6/9/2018 17:09:16,99,97
6/9/2018 17:09:26,99,97
6/9/2018 17:09:36,99,98
6/9/2018 17:09:46,99,98
6/9/2018 17:09:56,100,98
6/9/2018 17:10:06,100,97
6/9/2018 17:10:16,99,97
6/9/2018 17:10:26,99,97
6/9/2018 17:10:36,99,97
6/9/2018 17:10:46,99,98
6/9/2018 17:10:56,99,97
6/9/2018 17:11:06,99,97
6/9/2018 17:11:16,99,98
6/9/2018 17:11:27,100,97
6/9/2018 17:11:37,100,98
6/9/2018 17:11:47,100,97
6/9/2018 17:11:57,99,97
6/9/2018 17:12:07,99,97
6/9/2018 17:12:17,99,97
6/9/2018 17:12:27,99,97
6/9/2018 17:12:37,99,98
6/9/2018 17:12:47,99,98
6/9/2018 17:12:57,99,97
6/9/2018 17:13:07,99,97
6/9/2018 17:13:17,99,97
6/9/2018 17:13:27,99,98
6/9/2018 17:13:37,100,98
6/9/2018 17:13:47,99,97
6/9/2018 17:13:57,99,97
6/9/2018 17:14:07,100,97
6/9/2018 17:14:17,100,98
6/9/2018 17:14:27,99,98
6/9/2018 17:14:37,99,97
6/9/2018 17:14:47,99,97
6/9/2018 17:14:57,99,97
6/9/2018 17:15:07,99,97
6/9/2018 17:15:17,99,98
6/9/2018 17:15:27,99,98
6/9/2018 17:15:37,99,98
6/9/2018 17:15:48,99,98
6/9/2018 17:15:58,99,98
6/9/2018 17:16:08,99,97
6/9/2018 17:16:18,99,98
6/9/2018 17:16:28,99,98
6/9/2018 17:16:38,100,97
6/9/2018 17:16:48,99,98
6/9/2018 17:16:58,99,98
6/9/2018 17:17:08,100,98
6/9/2018 17:17:18,99,97
6/9/2018 17:17:28,99,98
6/9/2018 17:17:38,99,98
6/9/2018 17:17:48,99,98
6/9/2018 17:17:58,99,98
6/9/2018 17:18:08,100,98
6/9/2018 17:18:18,100,97
6/9/2018 17:18:28,99,98
6/9/2018 17:18:38,99,98
6/9/2018 17:18:48,99,97
6/9/2018 17:18:58,99,97
6/9/2018 17:19:08,99,98
6/9/2018 17:19:18,99,98
6/9/2018 17:19:28,100,98
6/9/2018 17:19:38,99,98
